"1.2.1.2 Proportion of population living below the national poverty line, by age group"

"Geolocation";"Age Group";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"PHILIPPINES";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33.5;..;..;23.9;..;..;26.3;..;23.4;..;...
"PHILIPPINES";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20.5;..;..;14.7;..;..;16.5;..;14.1;..;...
"PHILIPPINES";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.4;..;..;9.1;..;..;10.2;..;7.8;..;...
"..National Capital Region (NCR)";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.2;..;..;4.3;..;..;6.3;..;3.6;..;...
"..National Capital Region (NCR)";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.5;..;..;1.8;..;..;3.1;..;1.4;..;...
"..National Capital Region (NCR)";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2.1;..;..;0.9;..;..;1.7;..;0.6;..;...
"..Cordillera Administrative Region (CAR)";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;31.8;..;..;16.5;..;..;13.7;..;10.2;..;...
"..Cordillera Administrative Region (CAR)";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18.9;..;..;10.8;..;..;9.2;..;6.3;..;...
"..Cordillera Administrative Region (CAR)";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;15.5;..;..;7.2;..;..;6.3;..;3.7;..;...
"..Region I";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26.6;..;..;15.3;..;..;21.4;..;19.6;..;...
